PRODUCT_ID,PRODUCT_LINK
COMGZ4PNH9ZQVZXC,https://www.flipkart.com/product/p/item?pid=COMGZ4PNH9ZQVZXC
COMGKNA68SH9C54B,https://www.flipkart.com/product/p/item?pid=COMGKNA68SH9C54B
COMGN29YGMXF5DNH,https://www.flipkart.com/product/p/item?pid=COMGN29YGMXF5DNH
COMGHR2J9RX2GG2G,https://www.flipkart.com/product/p/item?pid=COMGHR2J9RX2GG2G
COMGZDQJCTDUXGTX,https://www.flipkart.com/product/p/item?pid=COMGZDQJCTDUXGTX
COMGZ4PN42GHPHYE,https://www.flipkart.com/product/p/item?pid=COMGZ4PN42GHPHYE
COMG5YDPYEB7ZAKK,https://www.flipkart.com/product/p/item?pid=COMG5YDPYEB7ZAKK
COMGZZUAHCVXGZFS,https://www.flipkart.com/product/p/item?pid=COMGZZUAHCVXGZFS
COMGN2YDSFGGXYG3,https://www.flipkart.com/product/p/item?pid=COMGN2YDSFGGXYG3
COMGGJZF9WKRYJFU,https://www.flipkart.com/product/p/item?pid=COMGGJZF9WKRYJFU
COMGZMKFGYFBMHVJ,https://www.flipkart.com/product/p/item?pid=COMGZMKFGYFBMHVJ
COMGZZUAHCVXGZFS,https://www.flipkart.com/product/p/item?pid=COMGZZUAHCVXGZFS
COMGAE6BUHSSQAGF,https://www.flipkart.com/product/p/item?pid=COMGAE6BUHSSQAGF
COMGAGRYXAWSHSRM,https://www.flipkart.com/product/p/item?pid=COMGAGRYXAWSHSRM
COMGMM3HY5EMNFZA,https://www.flipkart.com/product/p/item?pid=COMGMM3HY5EMNFZA
COMGEG3ZZGWA8XE2,https://www.flipkart.com/product/p/item?pid=COMGEG3ZZGWA8XE2
COMGMV6VGGS4RHD8,https://www.flipkart.com/product/p/item?pid=COMGMV6VGGS4RHD8
COMGGKKZHDJBZXJX,https://www.flipkart.com/product/p/item?pid=COMGGKKZHDJBZXJX
COMGPU47KZHXAACH,https://www.flipkart.com/product/p/item?pid=COMGPU47KZHXAACH
COMGEFDUQCBBAYCY,https://www.flipkart.com/product/p/item?pid=COMGEFDUQCBBAYCY
COMGMGSJZQGQXKGZ,https://www.flipkart.com/product/p/item?pid=COMGMGSJZQGQXKGZ
COMGNY4FMEF9ZWT2,https://www.flipkart.com/product/p/item?pid=COMGNY4FMEF9ZWT2
COMG87FFPEDAAGXW,https://www.flipkart.com/product/p/item?pid=COMG87FFPEDAAGXW
COMGNGEBJTGS365F,https://www.flipkart.com/product/p/item?pid=COMGNGEBJTGS365F
COMGHMH6GVJ79VCH,https://www.flipkart.com/product/p/item?pid=COMGHMH6GVJ79VCH
COMGG3S9HWSFYNHW,https://www.flipkart.com/product/p/item?pid=COMGG3S9HWSFYNHW
COMGMV6VBZFZEH5Y,https://www.flipkart.com/product/p/item?pid=COMGMV6VBZFZEH5Y
COMGKAVGAGWWHZ2Y,https://www.flipkart.com/product/p/item?pid=COMGKAVGAGWWHZ2Y
COMGMGXFQZGYKEZG,https://www.flipkart.com/product/p/item?pid=COMGMGXFQZGYKEZG
COMGHYFYXXJT5FPZ,https://www.flipkart.com/product/p/item?pid=COMGHYFYXXJT5FPZ
