feature,importance
Processor_Name,0.10469481116921862
Clock_Speed,0.060608357849328456
SSD_Capacity,0.06979757923558912
RAM,0.13165361205262788
Graphic_Processor,0.00825802483086805
Graphic_Memory,0.08998013350652226
Touchscreen,0.009465003813867197
Screen_Size,0.0218767651343406
Screen_Resolution,0.07335522381806371
