,Processor_Name,Clock_Speed,SSD_Capacity,RAM,Graphic_Processor,Graphic_Memory,Touchscreen,Screen_Size,Screen_Resolution,price
78,Core i5,4.4,512 GB,16,INTEGRATED,0,No,35.56,2073600,48990.0
79,Core i5,4.7,512 GB,16,DEDICATED,6,No,40.64,6400000,124990.0
80,Ryzen 3 Quad Core,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,39990.0
81,Ryzen 7 Octa Core,4.4,512 GB,16,DEDICATED,4,Yes,39.62,2073600,74990.0
82,Core i5,4.4,512 GB,16,INTEGRATED,0,Yes,35.56,2073600,66990.0
83,Core i3,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,39990.0
84,Ryzen 7 Octa Core,4.4,512 GB,16,DEDICATED,4,No,39.62,2073600,115990.0
85,Ryzen 7 Octa Core,4.4,512 GB,16,DEDICATED,4,No,39.62,2073600,72990.0
86,Core i5,4.5,512 GB,8,DEDICATED,4,No,40.89,2073600,58490.0
87,M2 Max,,1 TB,32,INTEGRATED,0,No,40.64,7720704,322490.0
88,Core i3,4.1,256 GB,8,INTEGRATED,0,No,39.62,2073600,41990.0
89,Ryzen 3 Quad Core,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,39990.0
90,Core i5,4.4,512 GB,16,INTEGRATED,0,No,39.62,2073600,54990.0
91,Ryzen 7 Octa Core,4.1,512 GB,8,INTEGRATED,0,No,35.56,2073600,57000.0
92,Core i5,,512 GB,8,INTEGRATED,0,No,39.62,2073600,54990.0
93,Core i7,4.7,512 GB,16,DEDICATED,4,No,39.62,2073600,89990.0
95,Core i5,4.5,512 GB,16,INTEGRATED,0,No,35.56,3110400,51990.0
96,Ryzen 5 Hexa Core,4.3,512 GB,16,INTEGRATED,0,No,35.56,2073600,58050.0
98,Core i3,4.1,256 GB,8,INTEGRATED,0,No,39.62,2073600,30990.0
99,Core i5,4.4,512 GB,16,DEDICATED,4,No,39.62,2073600,75990.0
100,Ryzen 5 Quad Core,4.3,512 GB,8,INTEGRATED,0,No,39.62,2073600,37990.0
102,Core i5,4.6,512 GB,8,INTEGRATED,0,No,39.62,2073600,71990.0
103,Ryzen 7 Octa Core,4.7,1 TB,16,DEDICATED,6,No,39.62,2073600,132990.0
104,Core i5,4.5,512 GB,16,DEDICATED,4,No,39.62,2073600,64990.0
106,Core i5,4.6,1 TB,16,INTEGRATED,0,Yes,35.56,2073600,82100.0
107,Core i5,4.5,512 GB,8,DEDICATED,4,No,39.62,2073600,49990.0
108,Ryzen 9 Octa Core,4.6,1 TB,16,DEDICATED,10,No,39.62,2073600,109990.0
109,Core i7,4.7,1 TB,16,INTEGRATED,0,No,35.56,5184000,89990.0
110,Ryzen 5 Hexa Core,4.0,512 GB,8,INTEGRATED,0,No,39.62,2073600,46000.0
111,Core i3,,256 GB,8,INTEGRATED,0,No,39.62,2073600,45490.0
112,Ryzen 5 Hexa Core,4.5,512 GB,16,INTEGRATED,0,No,35.56,2073600,46990.0
114,Core i5,4.4,512 GB,16,INTEGRATED,0,Yes,35.56,5184000,87990.0
115,Core i5,4.4,512 GB,8,DEDICATED,4,No,39.62,2073600,54990.0
117,Core i7,5.0,512 GB,16,INTEGRATED,0,No,39.62,2073600,71990.0
118,Core i5,4.5,512 GB,8,INTEGRATED,0,No,35.56,3110400,42999.0
119,Core i7,4.9,1 TB,16,DEDICATED,6,No,39.62,2073600,144990.0
120,Core i3,4.1,512 GB,8,INTEGRATED,0,No,35.56,2073600,42390.0
121,Ryzen 5 Hexa Core,4.2,512 GB,16,DEDICATED,4,No,39.62,2073600,65990.0
123,Core i5,4.5,512 GB,16,INTEGRATED,0,No,35.56,2304000,61990.0
125,Ryzen 5 Hexa Core,4.5,512 GB,16,INTEGRATED,0,No,40.64,2304000,53990.0
126,Core i5,4.5,512 GB,8,INTEGRATED,0,No,35.56,3110400,42999.0
127,Core i3,4.1,256 GB,8,INTEGRATED,0,No,39.62,2073600,34500.0
128,Core i5,4.4,512 GB,16,INTEGRATED,0,No,35.56,2073600,72999.0
130,Core i5,4.5,512 GB,16,DEDICATED,4,No,39.62,2073600,53990.0
131,Core i5,4.7,1 TB,16,DEDICATED,6,Yes,36.83,5184000,199990.0
132,M1,,256 GB,8,INTEGRATED,0,No,33.78,4096000,81990.0
133,Celeron Quad Core,2.8,512 GB,8,INTEGRATED,0,No,39.62,2073600,25990.0
135,M2,,512 GB,8,INTEGRATED,0,No,33.78,4096000,137990.0
136,Core i3,3.7,512 GB,8,INTEGRATED,0,Yes,35.56,2073600,53990.0
138,Ryzen 5 Hexa Core,4.0,512 GB,16,INTEGRATED,0,No,39.62,2073600,47990.0
139,Core i5,4.5,512 GB,16,INTEGRATED,0,No,39.62,2073600,56990.0
140,Core i9,5.6,2 TB,64,DEDICATED,16,No,43.94,4096000,489990.0
142,Core i5,4.4,512 GB,8,INTEGRATED,0,No,35.56,2073600,51990.0
145,Core i5,4.4,512 GB,16,INTEGRATED,0,No,39.62,2073600,56990.0
146,Core i5,4.4,512 GB,8,INTEGRATED,0,No,35.56,2073600,45990.0
147,Ryzen 9 16 Core,5.4,2 TB,32,DEDICATED,16,No,40.64,4096000,429990.0
148,Ryzen 5 Hexa Core,4.5,512 GB,8,INTEGRATED,0,No,35.56,2073600,42990.0
150,Core i7,4.7,1 TB,16,DEDICATED,8,No,39.62,3686400,244990.0
152,Core i5,4.6,512 GB,16,INTEGRATED,0,No,35.56,2073600,59990.0
153,Core i9,5.0,1 TB,16,DEDICATED,6,No,39.62,3686400,144990.0
154,Core i5,4.6,1 TB,16,INTEGRATED,0,Yes,35.56,2073600,78990.0
155,Core i5,4.5,512 GB,8,DEDICATED,4,No,39.62,2073600,52990.0
156,Ryzen 9 Octa Core,4.9,2 TB,32,DEDICATED,16,No,40.64,2304000,361990.0
157,Core i5,4.5,512 GB,8,DEDICATED,4,No,43.94,2073600,64990.0
159,Ryzen 7 Octa Core,4.4,512 GB,16,DEDICATED,4,No,39.62,2073600,64990.0
160,Celeron Dual Core,2.4,,4,INTEGRATED,0,Yes,39.62,2073600,16990.0
161,Ryzen 7 Octa Core,4.4,1 TB,16,DEDICATED,8,No,39.62,2073600,146990.0
163,Ryzen 5 Quad Core,4.3,512 GB,16,INTEGRATED,0,No,39.62,2073600,52490.0
164,Core i7,5.0,1 TB,16,INTEGRATED,0,No,33.78,5184000,129990.0
166,Core i7,5.0,1 TB,16,DEDICATED,0,No,40.64,4096000,175990.0
167,Core i3,3.4,256 GB,8,INTEGRATED,0,No,39.62,2073600,27990.0
169,Core i3,4.5,512 GB,8,INTEGRATED,0,No,35.56,2073600,45990.0
