,Processor_Name,Clock_Speed,SSD_Capacity,RAM,Graphic_Processor,Graphic_Memory,Touchscreen,Screen_Size,Screen_Resolution,price
397,Ryzen 7 Octa Core,4.7,1 TB,16,DEDICATED,8,No,35.56,2304000,131990.0
399,Ryzen 5 Quad Core,4.3,512 GB,16,INTEGRATED,0,No,39.62,2073600,56999.0
400,Ryzen 7 Octa Core,4.4,512 GB,16,DEDICATED,6,No,39.62,2073600,97990.0
402,Core i7,5.0,1 TB,32,DEDICATED,8,No,40.64,4096000,219990.0
403,Core i5,4.7,512 GB,16,DEDICATED,4,No,35.56,5184000,82990.0
404,Core i9,5.0,1 TB,32,DEDICATED,8,No,39.62,2073600,304990.0
405,Core i9,5.0,1 TB,16,DEDICATED,4,Yes,34.04,9216000,304980.0
408,Ryzen 7 Octa Core,4.7,1 TB,32,DEDICATED,4,Yes,34.04,2304000,140990.0
409,Ryzen 7 Octa Core,4.3,512 GB,16,INTEGRATED,0,Yes,35.56,2073600,82990.0
410,Ryzen 9 Octa Core,4.6,1 TB,8,DEDICATED,4,No,35.56,5184000,101990.0
412,Ryzen 7 Octa Core,4.3,512 GB,16,INTEGRATED,0,Yes,33.78,2304000,82990.0
413,Ryzen 5 Hexa Core,4.0,512 GB,8,INTEGRATED,0,No,35.56,2073600,55990.0
414,Ryzen 7 Octa Core,4.4,512 GB,16,DEDICATED,4,No,39.62,2073600,85990.0
416,Core i5,4.5,512 GB,16,INTEGRATED,0,Yes,35.56,2073600,72990.0
417,Ryzen 7 Octa Core,4.5,512 GB,16,INTEGRATED,0,Yes,35.56,2073600,88990.0
418,Core i5,4.4,256 GB,16,DEDICATED,4,No,39.62,2073600,67990.0
420,Core i3,4.1,256 GB,8,INTEGRATED,0,No,38.0,2073600,42690.0
421,Core i7,4.7,512 GB,16,DEDICATED,4,No,35.56,2073600,167990.0
422,Ryzen 9 Octa Core,4.3,1 TB,16,DEDICATED,6,No,39.62,2073600,129990.0
424,Core i5,4.2,512 GB,16,INTEGRATED,0,Yes,33.78,2073600,87990.0
425,Core i7,5.0,512 GB,16,INTEGRATED,0,No,35.56,5184000,112990.0
426,Celeron Dual Core,2.8,256 GB,4,INTEGRATED,0,No,29.46,1049088,21990.0
429,Core i7,5.0,1 TB,16,INTEGRATED,0,No,33.78,5184000,149990.0
430,M1 Pro,,1 TB,16,INTEGRATED,0,No,41.15,7720704,243990.0
431,Core i5,4.5,512 GB,16,DEDICATED,6,No,39.62,2073600,79990.0
433,Ryzen 5 Hexa Core,4.0,512 GB,8,DEDICATED,4,No,43.94,2073600,64450.0
434,Ryzen 7 Octa Core,4.7,512 GB,16,DEDICATED,8,No,40.89,2073600,99990.0
435,M2 Pro,,512 GB,16,INTEGRATED,0,No,40.64,7720704,229990.0
436,Core i7,4.9,512 GB,16,DEDICATED,2,No,35.56,2073600,72500.0
438,Core i7,4.7,512 GB,16,DEDICATED,2,Yes,40.64,8294400,157375.0
439,M2,,512 GB,8,INTEGRATED,0,No,34.54,4259840,137990.0
441,Ryzen 3 Dual Core,,512 GB,8,INTEGRATED,0,No,39.62,2073600,35398.0
442,Ryzen 5 Hexa Core,4.3,512 GB,8,INTEGRATED,0,No,35.56,2073600,55990.0
443,Core i5,4.4,256 GB,8,DEDICATED,2,No,39.62,2073600,69490.0
444,Core i7,4.4,512 GB,16,DEDICATED,2,Yes,35.56,2073600,102890.0
446,Core i5,3.5,128 GB,8,DEDICATED,4,No,39.62,2073600,99990.0
447,Ryzen 5 Quad Core,4.3,512 GB,8,INTEGRATED,0,No,39.62,2073600,46990.0
448,Core i7,2.6,1 TB,16,DEDICATED,6,No,39.62,2073600,202490.0
449,M1 Pro,,1 TB,16,INTEGRATED,0,No,36.07,5939136,225090.0
451,Core i5,5.0,512 GB,8,INTEGRATED,0,No,39.62,2073600,61690.0
453,M2,,512 GB,8,INTEGRATED,0,No,33.78,4096000,133990.0
454,Celeron Dual Core,2.8,256 GB,8,INTEGRATED,0,No,29.46,1049088,23490.0
455,Core i7,3.8,256 GB,8,DEDICATED,6,No,39.62,2073600,137990.0
457,Core i9,,1 TB,32,DEDICATED,6,No,40.64,9216000,199990.0
458,Ryzen 7 Octa Core,4.7,512 GB,16,DEDICATED,4,No,39.62,2073600,105990.0
459,Ryzen 5 Hexa Core,4.2,512 GB,8,DEDICATED,4,No,38.0,2073600,66990.0
461,Core i5,4.4,512 GB,16,DEDICATED,4,No,39.62,2073600,73990.0
462,Core i5,4.4,512 GB,8,DEDICATED,2,Yes,35.56,2073600,83890.0
464,Core i7,4.7,1 TB,16,DEDICATED,4,Yes,36.83,5898240,159990.0
465,Core i3,3.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,29990.0
466,Core i7,5.0,512 GB,16,INTEGRATED,0,No,39.62,2073600,91141.0
467,Core i7,4.7,512 GB,16,DEDICATED,4,No,39.62,2073600,99698.0
468,Core i5,4.2,512 GB,8,DEDICATED,2,No,39.62,2073600,62490.0
470,Core i5,5.0,512 GB,8,INTEGRATED,0,No,39.62,2073600,60690.0
471,Ryzen 7 Octa Core,4.5,512 GB,8,INTEGRATED,0,No,38.0,2073600,59900.0
472,Core i5,3.6,512 GB,8,INTEGRATED,0,No,39.62,2073600,46990.0
473,Core i5,4.2,256 GB,8,INTEGRATED,0,No,39.62,2073600,60130.0
474,Ryzen 5 Hexa Core,4.5,512 GB,8,DEDICATED,4,No,40.89,2073600,78680.0
480,Core i7,4.6,512 GB,16,DEDICATED,4,No,39.62,2073600,103490.0
482,Celeron Dual Core,2.8,,4,INTEGRATED,0,No,29.46,1049088,18690.0
483,Core i5,4.2,512 GB,8,INTEGRATED,0,Yes,35.56,2073600,79990.0
485,Ryzen 7 Octa Core,4.7,512 GB,16,DEDICATED,6,No,38.0,2073600,113990.0
486,Celeron Dual Core,2.4,,4,INTEGRATED,0,Yes,35.56,1049088,25990.0
488,Ryzen 7 Octa Core,4.5,512 GB,16,INTEGRATED,0,No,40.64,2304000,70990.0
489,Ryzen 9 Octa Core,4.9,1 TB,16,DEDICATED,6,No,39.62,3686400,161990.0
490,Ryzen 7 Octa Core,4.4,512 GB,16,INTEGRATED,0,Yes,33.78,2073600,94500.0
492,Ryzen 9 Octa Core,4.9,1 TB,16,DEDICATED,8,No,39.62,3686400,189990.0
493,M1 Max,,1 TB,32,INTEGRATED,0,No,41.15,7720704,309490.0
494,Core i9,5.3,1 TB,32,DEDICATED,6,Yes,39.62,8294400,161990.0
496,Ryzen 5 Hexa Core,4.2,512 GB,16,DEDICATED,4,No,39.62,2073600,68990.0
497,Core i5,4.5,512 GB,8,DEDICATED,4,No,39.62,2073600,65990.0
498,Core i5,4.4,512 GB,16,INTEGRATED,0,No,33.78,2073600,82990.0
499,Ryzen 7 Octa Core,4.2,512 GB,16,DEDICATED,4,No,39.62,2073600,75990.0
501,Core i7,4.7,512 GB,8,DEDICATED,2,No,35.56,2073600,75990.0
502,Core i7,5.1,1 TB,16,DEDICATED,8,No,39.62,2073600,183490.0
504,Ryzen 5 Quad Core,3.7,512 GB,8,INTEGRATED,0,No,35.56,2073600,46990.0
505,Core i5,4.4,512 GB,16,DEDICATED,4,No,39.62,2073600,70990.0
506,Core i5,4.2,512 GB,8,INTEGRATED,2,No,39.62,2073600,71857.0
508,Core i7,4.7,1 TB,32,DEDICATED,8,No,39.62,2073600,280490.0
509,Core i5,4.2,512 GB,8,INTEGRATED,0,No,35.56,2073600,61499.0
510,Core i5,4.0,512 GB,8,INTEGRATED,0,No,35.56,2073600,61700.0
511,Ryzen 3 Quad Core,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,46990.0
512,Ryzen 9 Octa Core,,1 TB,16,DEDICATED,4,No,39.62,2073600,92990.0
514,Ryzen 7 Octa Core,4.3,512 GB,8,INTEGRATED,0,No,35.56,2073600,57990.0
516,M1 Max,,1 TB,32,INTEGRATED,0,No,41.15,7720704,309490.0
517,Core i5,4.5,512 GB,16,INTEGRATED,0,Yes,34.04,2304000,89990.0
518,Core i9,5.0,1 TB,32,DEDICATED,8,No,40.64,9216000,239990.0
519,Core i3,3.4,512 GB,4,INTEGRATED,0,No,39.62,2073600,39990.0
521,Core i5,4.6,512 GB,16,INTEGRATED,0,Yes,35.56,2304000,79990.0
523,Ryzen 7 Octa Core,4.7,1 TB,32,DEDICATED,4,Yes,34.04,9216000,157900.0
524,M1,,512 GB,8,INTEGRATED,0,No,33.78,4096000,99999.0
525,M2,,512 GB,8,INTEGRATED,0,No,34.54,4259840,137990.0
526,Pentium Quad Core,3.3,256 GB,4,INTEGRATED,0,No,35.56,1049088,19990.0
528,Ryzen 5 Hexa Core,4.0,512 GB,16,INTEGRATED,0,No,35.56,2073600,55990.0
529,Ryzen 7 Octa Core,4.5,512 GB,16,INTEGRATED,0,No,40.64,2073600,73890.0
530,Core i3,3.8,512 GB,8,INTEGRATED,0,No,35.56,2073600,35990.0
531,Ryzen 7 Octa Core,4.7,512 GB,16,DEDICATED,4,No,39.62,2073600,89990.0
532,Core i5,4.5,512 GB,16,INTEGRATED,0,No,35.56,3136000,79999.0
533,Ryzen 9 Octa Core,4.4,1 TB,32,DEDICATED,8,No,35.56,4096000,176990.0
534,Core i5,4.5,512 GB,8,INTEGRATED,0,Yes,35.56,2073600,71590.0
537,Celeron Dual Core,2.8,256 GB,4,INTEGRATED,0,No,35.56,1049088,27490.0
538,Core i5,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,57290.0
539,Core i7,4.7,1 TB,16,DEDICATED,8,No,40.89,3686400,162990.0
540,Core i7,5.0,1 TB,16,INTEGRATED,0,No,35.56,2304000,114990.0
542,Core i3,,256 GB,8,INTEGRATED,0,No,39.62,2073600,38990.0
543,Ryzen 7 Octa Core,4.4,512 GB,16,DEDICATED,4,No,39.62,2073600,86390.0
544,Ryzen 3 Quad Core,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,41890.0
545,Ryzen 3 Quad Core,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,40990.0
547,Ryzen 5 Hexa Core,4.0,256 GB,8,DEDICATED,4,No,39.62,2073600,58490.0
549,Athlon Dual Core,3.2,512 GB,8,INTEGRATED,0,No,39.62,1049088,29990.0
550,Core i5,4.4,512 GB,16,INTEGRATED,0,No,38.86,2073600,67990.0
551,Core i5,4.5,512 GB,16,DEDICATED,4,No,40.89,2073600,94990.0
552,Ryzen 5 Hexa Core,4.2,512 GB,16,INTEGRATED,0,Yes,35.56,5184000,91990.0
553,Ryzen 7 Quad Core,,1 TB,16,DEDICATED,4,No,39.62,2073600,86000.0
556,Ryzen 5 Hexa Core,4.2,512 GB,8,DEDICATED,4,No,39.62,2073600,75991.0
557,Core i5,,512 GB,16,DEDICATED,4,No,39.62,1958400,92990.0
558,Ryzen 3 Dual Core,3.5,,8,INTEGRATED,0,No,39.62,2073600,38990.0
559,Core i7,,256 GB,16,DEDICATED,6,No,39.62,2073600,94990.0
561,Ryzen 5 Hexa Core,2.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,50990.0
562,Ryzen 7 Octa Core,4.4,1 TB,16,DEDICATED,6,No,40.89,3686400,107990.0
563,Ryzen 5 Hexa Core,4.5,512 GB,8,INTEGRATED,0,No,35.56,2073600,59990.0
565,Ryzen 9 Octa Core,4.9,1 TB,16,DEDICATED,8,No,39.62,3686400,189990.0
566,Core i5,4.4,512 GB,8,INTEGRATED,0,No,35.56,2073600,69990.0
567,Core i3,4.1,256 GB,4,INTEGRATED,0,No,39.62,2073600,39990.0
568,Core i3,3.4,256 GB,8,INTEGRATED,0,No,34.19,2073600,27990.0
569,Core i5,4.2,512 GB,8,INTEGRATED,0,No,39.62,2073600,53990.0
570,Ryzen 3 Quad Core,4.1,512 GB,8,INTEGRATED,0,No,35.56,2073600,43490.0
572,Core i5,4.4,512 GB,16,INTEGRATED,0,No,39.62,2073600,75070.0
573,Ryzen 9 Octa Core,4.8,1 TB,16,DEDICATED,12,No,39.62,3686400,124990.0
575,Core i5,4.4,256 GB,16,DEDICATED,4,No,39.62,2073600,89990.0
577,Core i3,4.1,512 GB,8,INTEGRATED,0,No,35.56,2073600,40990.0
578,Core i5,4.4,512 GB,8,DEDICATED,4,No,39.62,2073600,71990.0
580,Core i9,5.0,4 TB,32,DEDICATED,16,No,43.94,3686400,399990.0
581,Ryzen 5 Quad Core,3.7,256 GB,8,INTEGRATED,0,No,39.62,2073600,42690.0
582,Ryzen 5 Hexa Core,4.5,512 GB,8,INTEGRATED,0,No,35.56,2073600,59990.0
583,Ryzen 5 Hexa Core,4.0,512 GB,8,INTEGRATED,0,No,39.62,2073600,42490.0
585,Core i5,4.1,512 GB,8,INTEGRATED,0,No,33.78,4096000,162490.0
586,Celeron Dual Core,2.8,,4,INTEGRATED,0,Yes,29.46,1049088,16990.0
587,Ryzen 7 Octa Core,4.7,1 TB,16,DEDICATED,4,Yes,34.04,2304000,127990.0
589,Core i5,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,56990.0
590,Core i5,4.4,512 GB,8,INTEGRATED,0,Yes,40.64,2073600,89490.0
591,Core i3,4.1,256 GB,8,INTEGRATED,0,No,38.0,2073600,38990.0
592,Core i7,2.2,2 TB,16,DEDICATED,8,No,39.62,2073600,150490.0
593,Core i7,5.1,1 TB,32,DEDICATED,8,No,39.62,8294400,214990.0
594,Ryzen 9 Octa Core,4.9,1 TB,16,DEDICATED,4,Yes,34.04,2304000,131990.0
597,Core i5,4.4,512 GB,8,DEDICATED,4,No,39.62,2073600,68989.0
598,Core i5,4.4,512 GB,16,DEDICATED,4,No,39.62,2073600,84990.0
599,Ryzen 3 Dual Core,,512 GB,8,INTEGRATED,0,No,35.56,2073600,40790.0
601,Core i7,4.4,512 GB,16,INTEGRATED,0,No,39.62,2073600,70990.0
602,Ryzen 5 Hexa Core,4.0,1 TB,8,DEDICATED,4,No,39.62,2073600,65990.0
604,Ryzen 5 Hexa Core,4.5,512 GB,8,DEDICATED,4,No,39.62,2073600,74990.0
605,Core i9,5.0,2 TB,32,DEDICATED,16,No,43.94,3686400,359990.0
606,Core i5,4.7,512 GB,16,DEDICATED,4,No,35.56,2304000,86990.0
607,Core i7,,512 GB,16,INTEGRATED,0,No,39.62,2073600,64200.0
609,Ryzen 5 Quad Core,,256 GB,8,INTEGRATED,0,No,39.62,2073600,51990.0
610,Ryzen 7 Octa Core,4.7,512 GB,16,DEDICATED,4,No,40.89,2073600,94990.0
611,Ryzen 5 Hexa Core,4.2,512 GB,8,DEDICATED,4,No,39.62,2073600,59490.0
612,Core i7,3.8,128 GB,8,DEDICATED,4,No,39.62,2073600,109990.0
614,Core i7,5.0,512 GB,16,DEDICATED,6,No,40.64,2304000,124990.0
616,Ryzen 5 Hexa Core,4.2,512 GB,8,DEDICATED,4,No,39.62,2073600,66490.0
617,Core i7,4.9,1 TB,16,DEDICATED,6,No,43.94,2073600,129990.0
618,Core i5,3.9,512 GB,8,INTEGRATED,0,No,33.78,2073600,72150.0
619,Core i3,4.4,512 GB,8,INTEGRATED,0,No,38.0,2073600,44500.0
621,Ryzen 7 Octa Core,1.9,512 GB,16,INTEGRATED,0,Yes,35.56,2073600,98990.0
623,Core i5,4.4,512 GB,16,INTEGRATED,0,Yes,35.56,2073600,84990.0
624,Core i9,4.8,1 TB,16,DEDICATED,4,Yes,39.62,8294400,197990.0
625,Ryzen 3 Dual Core,3.5,512 GB,8,INTEGRATED,0,No,38.0,2073600,42990.0
626,Ryzen 3 Dual Core,3.5,512 GB,8,INTEGRATED,0,No,38.0,2073600,49498.0
627,Ryzen 5 Quad Core,3.7,512 GB,8,INTEGRATED,0,No,35.56,2073600,46490.0
629,Core i5,4.2,512 GB,16,INTEGRATED,0,No,35.56,2073600,69990.0
630,Ryzen 5 Quad Core,4.3,512 GB,8,INTEGRATED,0,No,39.62,2073600,52990.0
631,Core i3,4.1,256 GB,8,INTEGRATED,0,No,35.56,2073600,29990.0
633,Core i3,3.4,256 GB,8,INTEGRATED,0,No,38.0,2073600,39490.0
634,Core i7,2.6,256 GB,8,DEDICATED,4,No,39.62,2073600,87390.0
635,Core i9,5.4,1 TB,16,DEDICATED,6,No,40.64,6400000,159990.0
637,Core i5,3.6,512 GB,8,INTEGRATED,0,No,35.56,2073600,62990.0
638,Core i7,4.6,256 GB,16,DEDICATED,4,No,39.62,2073600,62990.0
639,Ryzen 7 Octa Core,4.7,512 GB,16,DEDICATED,4,No,39.62,2073600,87990.0
640,Core i5,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,57990.0
643,Core i3,4.1,256 GB,8,INTEGRATED,0,No,39.62,2073600,35699.0
644,Core i5,4.5,512 GB,8,INTEGRATED,0,No,35.56,3110400,42999.0
645,Ryzen 7 Quad Core,,1 TB,16,DEDICATED,8,No,35.56,2073600,154990.0
646,Ryzen 7 Quad Core,,1 TB,16,DEDICATED,4,No,39.62,2073600,85500.0
647,Core i3,4.1,512 GB,8,INTEGRATED,0,No,35.56,2073600,31990.0
649,Core i3,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,32990.0
650,Core i3,4.1,256 GB,8,INTEGRATED,0,No,35.56,2073600,56426.0
651,Core i5,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,61255.0
653,Ryzen 5 Hexa Core,4.3,512 GB,8,INTEGRATED,0,No,39.62,2073600,54990.0
654,Core i3,4.4,512 GB,8,INTEGRATED,0,Yes,35.56,2304000,56990.0
656,Core i5,2.4,512 GB,16,INTEGRATED,0,No,34.04,2073600,110490.0
657,Core i3,,512 GB,8,INTEGRATED,0,No,39.62,2073600,42890.0
658,Celeron Quad Core,2.8,,4,INTEGRATED,0,Yes,35.56,1049088,19990.0
660,Core i3,,256 GB,8,INTEGRATED,0,No,38.1,2073600,45290.0
661,Ryzen 7 Octa Core,,512 GB,8,INTEGRATED,0,No,39.62,2073600,55990.0
662,Core i5,4.4,512 GB,8,DEDICATED,4,No,39.62,2073600,62999.0
663,Ryzen 7 Quad Core,,1 TB,16,INTEGRATED,0,No,35.56,5184000,105500.0
665,Core i9,5.4,1 TB,16,INTEGRATED,0,No,39.62,4665600,104990.0
666,Ryzen 7 Octa Core,4.3,512 GB,16,INTEGRATED,0,Yes,35.56,2073600,76860.0
668,Core i7,5.0,1 TB,32,DEDICATED,4,Yes,40.64,9216000,183990.0
669,Core i5,4.6,1 TB,16,DEDICATED,6,No,40.64,2304000,144990.0
670,Core i9,5.4,1 TB,32,DEDICATED,8,No,34.04,4096000,284990.0
671,Ryzen 9 Octa Core,5.2,1 TB,32,DEDICATED,8,No,35.56,4096000,199990.0
672,Ryzen 9 Octa Core,5.2,1 TB,16,DEDICATED,8,No,39.62,3686400,151990.0
674,Core i7,4.9,1 TB,16,DEDICATED,8,No,45.72,2304000,169990.0
675,Core i7,4.9,1 TB,16,DEDICATED,6,No,40.64,2304000,152990.0
676,Ryzen 9 12 Core,5.2,1 TB,16,DEDICATED,6,No,43.94,3686400,159990.0
678,Core i9,5.4,1 TB,16,DEDICATED,6,No,40.64,4096000,169990.0
680,Core i9,5.6,1 TB,16,DEDICATED,8,No,40.64,4096000,209990.0
681,Core i7,5.0,512 GB,16,DEDICATED,6,No,39.62,2073600,129990.0
682,Ryzen 9 Octa Core,5.2,1 TB,16,DEDICATED,8,No,40.64,2304000,139990.0
683,Core i9,5.4,1 TB,16,DEDICATED,8,No,34.04,4096000,209990.0
684,Core i9,5.4,1 TB,16,DEDICATED,8,No,40.64,4096000,179990.0
686,Core i9,5.4,1 TB,16,DEDICATED,8,No,39.62,2073600,154990.0
687,Ryzen 7 Octa Core,4.2,512 GB,8,DEDICATED,4,No,39.62,2073600,76990.0
689,Ryzen 7 Octa Core,4.7,512 GB,16,DEDICATED,6,No,39.62,2073600,105990.0
690,Core i7,4.7,512 GB,16,INTEGRATED,0,No,33.78,2073600,113104.0
691,Ryzen 9 12 Core,5.2,1 TB,16,DEDICATED,8,No,43.94,3686400,174990.0
693,Core i3,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,45590.0
694,Pentium Quad Core,3.0,256 GB,8,INTEGRATED,0,No,35.81,1049088,31900.0
695,Core i3,,256 GB,4,INTEGRATED,0,No,39.62,2073600,48999.0
697,Athlon Dual Core,3.2,256 GB,4,INTEGRATED,0,No,35.56,1049088,17990.0
698,Core i3,4.1,256 GB,8,INTEGRATED,0,Yes,35.56,2073600,51999.0
699,Core i5,4.5,256 GB,8,DEDICATED,4,No,39.62,2073600,58750.0
701,Core i7,4.8,1 TB,16,DEDICATED,4,No,39.62,2073600,194304.0
702,Celeron Dual Core,2.8,128 GB,4,INTEGRATED,0,Yes,29.46,1049088,29290.0
704,Ryzen 5 Hexa Core,4.2,512 GB,8,DEDICATED,4,No,39.62,2073600,54990.0
705,Ryzen 5 Hexa Core,4.0,512 GB,8,INTEGRATED,0,Yes,35.56,2073600,61990.0
706,Core i5,4.5,512 GB,16,INTEGRATED,0,No,35.56,2304000,61990.0
707,Ryzen 3 Dual Core,3.5,256 GB,8,INTEGRATED,0,No,39.62,2073600,38690.0
709,Core i7,4.6,512 GB,16,DEDICATED,4,No,39.62,2073600,129990.0
710,Core i3,4.1,256 GB,8,INTEGRATED,0,No,38.0,2073600,39990.0
711,Celeron Dual Core,2.8,512 GB,8,INTEGRATED,0,No,39.62,2073600,25990.0
713,Core i5,4.2,256 GB,8,DEDICATED,2,No,39.62,2073600,54990.0
714,Core i5,4.5,512 GB,16,INTEGRATED,0,No,39.62,2073600,59990.0
715,Core i5,4.4,512 GB,16,DEDICATED,4,No,39.62,2073600,65990.0
717,Core i7,4.7,1 TB,16,INTEGRATED,0,Yes,35.56,4096000,129990.0
718,Ryzen 7 Octa Core,4.2,512 GB,16,DEDICATED,4,No,39.62,2073600,74990.0
719,Ryzen 5 Hexa Core,4.3,512 GB,16,INTEGRATED,0,No,35.56,2073600,62990.0
721,Ryzen 5 Hexa Core,4.5,512 GB,16,INTEGRATED,0,Yes,35.56,2304000,70990.0
722,Ryzen 3 Dual Core,3.5,256 GB,8,INTEGRATED,0,No,35.56,1049088,31990.0
724,Core i5,,1 TB,16,INTEGRATED,0,No,39.62,2073600,83500.0
725,Ryzen 5 Hexa Core,2.1,512 GB,8,INTEGRATED,0,No,35.56,2073600,50990.0
726,Ryzen 7 Octa Core,4.4,512 GB,16,INTEGRATED,0,No,40.64,2304000,59990.0
727,Core i7,4.7,1 TB,32,DEDICATED,4,No,39.62,2073600,180093.0
729,Core i5,3.6,512 GB,8,INTEGRATED,0,No,35.56,2073600,37990.0
730,Celeron Quad Core,2.8,128 GB,4,INTEGRATED,0,No,35.56,2073600,21990.0
731,Ryzen 7 Octa Core,4.7,1 TB,16,DEDICATED,6,No,39.62,3686400,135990.0
732,Core i3,4.1,256 GB,8,INTEGRATED,0,No,39.62,2073600,37990.0
733,Core i5,4.5,256 GB,8,DEDICATED,4,No,39.62,2073600,50990.0
735,Ryzen 5 Quad Core,3.7,128 GB,8,INTEGRATED,0,Yes,38.1,4153344,99990.0
737,Core i5,4.6,512 GB,8,INTEGRATED,0,No,39.62,2073600,65499.0
738,Core i9,5.0,2 TB,32,DEDICATED,16,No,40.64,4096000,304990.0
739,Core i7,4.7,512 GB,16,INTEGRATED,0,Yes,35.56,5184000,104990.0
741,Ryzen 5 Hexa Core,4.2,512 GB,16,INTEGRATED,0,No,35.56,5184000,65990.0
742,Core i5,3.9,256 GB,8,INTEGRATED,0,Yes,33.78,2073600,136590.0
743,Ryzen 5 Hexa Core,4.5,512 GB,16,INTEGRATED,0,No,33.78,2304000,67950.0
745,Core i7,4.6,256 GB,8,INTEGRATED,0,No,35.56,2073600,93990.0
746,Ryzen 5 Quad Core,4.3,512 GB,8,INTEGRATED,0,No,39.62,2073600,52990.0
748,Ryzen 9 Octa Core,4.6,1 TB,16,DEDICATED,6,No,35.56,3686400,109990.0
749,Ryzen 9 Octa Core,4.6,1 TB,16,DEDICATED,4,No,35.56,3686400,99990.0
750,Ryzen 9 Octa Core,4.6,1 TB,16,DEDICATED,4,No,35.56,3686400,99990.0
752,Core i3,4.1,512 GB,8,INTEGRATED,0,No,35.56,2073600,48990.0
753,Core i5,4.4,512 GB,16,INTEGRATED,0,Yes,35.56,2073600,66990.0
754,Core i7,4.7,512 GB,16,DEDICATED,2,No,40.64,2073600,94291.0
755,Celeron Dual Core,2.8,,4,INTEGRATED,0,No,39.62,1049088,19990.0
757,Core i5,4.4,1 TB,16,DEDICATED,6,No,39.62,2073600,86990.0
758,Core i7,4.7,512 GB,8,DEDICATED,6,No,39.62,2073600,88990.0
759,Core i5,4.4,512 GB,8,DEDICATED,6,No,39.62,2073600,78990.0
761,Core i5,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,54990.0
762,Core i5,3.8,512 GB,8,DEDICATED,4,No,39.62,8294400,92990.0
763,Ryzen 7 Octa Core,4.4,1 TB,16,DEDICATED,6,No,40.64,4096000,159990.0
765,Core i7,4.7,512 GB,16,INTEGRATED,0,No,35.56,5184000,105770.0
766,Core i3,4.1,256 GB,8,INTEGRATED,0,No,39.62,1049088,37240.0
767,Core i5,4.4,512 GB,8,DEDICATED,4,No,39.62,2073600,68990.0
768,Core i7,4.1,512 GB,16,DEDICATED,6,No,39.62,2073600,174490.0
769,Ryzen 7 Octa Core,4.4,512 GB,16,DEDICATED,6,No,39.62,2073600,104990.0
771,Ryzen 7 Octa Core,4.7,512 GB,16,DEDICATED,4,No,38.0,2073600,92990.0
773,Ryzen 7 Octa Core,4.7,1 TB,32,DEDICATED,4,Yes,34.04,9216000,264990.0
774,Ryzen 9 Octa Core,4.8,1 TB,32,DEDICATED,4,Yes,34.04,9216000,199990.0
775,Core i3,4.1,256 GB,4,INTEGRATED,0,No,39.62,2073600,35990.0
777,Core i7,4.7,1 TB,32,DEDICATED,6,No,35.56,2073600,246490.0
778,Core i7,4.7,1 TB,16,DEDICATED,4,No,40.64,4096000,142491.0
779,Core i5,4.4,256 GB,8,INTEGRATED,0,No,39.62,2073600,57990.0
781,Core i5,4.4,512 GB,8,DEDICATED,4,No,39.62,2073600,62990.0
782,Core i7,4.5,512 GB,16,INTEGRATED,0,Yes,33.78,2073600,239759.0
783,Core i5,3.8,512 GB,8,INTEGRATED,0,No,35.56,3110400,42999.0
785,Core i5,,512 GB,8,INTEGRATED,0,No,40.64,2073600,78990.0
786,Celeron Dual Core,2.8,,4,INTEGRATED,0,No,29.46,1049088,19990.0
788,Core i5,4.5,512 GB,8,DEDICATED,2,Yes,35.56,2073600,70499.0
789,Core i5,4.4,512 GB,16,INTEGRATED,0,No,35.56,5184000,94990.0
790,Core i7,5.0,1 TB,16,DEDICATED,6,No,40.64,2304000,129990.0
791,Celeron Dual Core,2.8,,4,INTEGRATED,0,No,29.46,1049088,20990.0
793,Ryzen 9 Octa Core,4.8,1 TB,32,DEDICATED,4,Yes,34.04,2304000,189990.0
794,Ryzen 3 Quad Core,,512 GB,8,INTEGRATED,0,No,35.56,1049088,29490.0
795,Core i5,2.4,512 GB,16,INTEGRATED,0,Yes,33.02,2073600,173636.0
797,Ryzen 7 Octa Core,4.7,512 GB,16,DEDICATED,6,No,39.62,2073600,109490.0
798,Core i5,3.7,128 GB,8,INTEGRATED,0,Yes,33.02,3393024,94490.0
800,Ryzen 5 Hexa Core,,512 GB,16,INTEGRATED,0,No,40.64,2073600,62490.0
801,Core i9,5.4,1 TB,16,DEDICATED,6,No,39.62,4665600,160000.0
802,Ryzen 7 Octa Core,4.7,512 GB,16,DEDICATED,4,No,40.89,2073600,100889.0
803,Ryzen 5 Quad Core,,512 GB,16,INTEGRATED,0,No,39.62,2073600,59990.0
805,Core i7,3.8,128 GB,16,DEDICATED,4,No,39.62,2073600,112990.0
