Processor_Name,Clock_Speed,SSD_Capacity,RAM,Graphic_Processor,Graphic_Memory,Touchscreen,Screen_Size,Screen_Resolution,price
Core i7,4.7,1 TB,16,DEDICATED,8,No,39.62,3686400,244990.0
Core i7,4.7,512 GB,16,DEDICATED,6,No,39.62,2073600,94990.0
Ryzen 5 Hexa Core,4.2,512 GB,8,DEDICATED,4,No,40.89,2073600,70990.0
Ryzen 5 Hexa Core,4.2,512 GB,8,DEDICATED,4,No,39.62,2073600,75991.0
Ryzen 5 Hexa Core,4.5,512 GB,8,DEDICATED,4,No,40.89,2073600,78680.0
Core i5,4.4,512 GB,16,INTEGRATED,0,No,39.62,2073600,67990.0
Core i3,,512 GB,8,INTEGRATED,0,No,39.62,1049088,35990.0
Ryzen 7 Octa Core,4.4,512 GB,8,DEDICATED,4,No,39.62,2073600,57990.0
Ryzen 5 Hexa Core,4.5,512 GB,16,INTEGRATED,0,No,33.78,2304000,68990.0
Core i3,4.1,512 GB,8,INTEGRATED,0,No,35.56,2073600,37490.0
Core i5,4.4,512 GB,8,DEDICATED,4,No,39.62,2073600,62890.0
Ryzen 5 Hexa Core,4.0,512 GB,16,INTEGRATED,0,No,35.56,2073600,52990.0
Core i5,4.4,256 GB,8,INTEGRATED,0,No,39.62,2073600,63990.0
Core i7,4.4,512 GB,16,INTEGRATED,0,No,39.62,2073600,79990.0
Core i5,4.5,512 GB,8,INTEGRATED,0,No,35.56,2073600,42990.0
Core i5,4.5,512 GB,16,INTEGRATED,0,No,35.56,2304000,69990.0
Ryzen 3 Quad Core,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,39990.0
Ryzen 5 Hexa Core,4.2,512 GB,16,DEDICATED,4,No,39.62,2073600,65990.0
Ryzen 7 Octa Core,4.2,512 GB,8,DEDICATED,4,No,43.94,2073600,67790.0
Ryzen 5 Hexa Core,4.3,512 GB,16,INTEGRATED,0,No,39.62,2073600,58990.0
Core i3,4.1,256 GB,8,INTEGRATED,0,No,35.56,2073600,33990.0
Core i5,4.5,512 GB,8,INTEGRATED,0,No,39.62,2073600,39990.0
M1,,256 GB,16,INTEGRATED,0,No,33.78,4096000,111990.0
Ryzen 7 Octa Core,4.4,512 GB,16,DEDICATED,4,Yes,39.62,2073600,74990.0
Core i5,4.5,512 GB,8,INTEGRATED,0,No,35.56,2304000,65990.0
Core i3,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,41990.0
Core i5,4.4,256 GB,8,DEDICATED,2,No,39.62,2073600,69490.0
M2 Pro,,512 GB,16,INTEGRATED,0,No,35.56,5939136,183990.0
Core i5,4.5,512 GB,16,DEDICATED,4,No,39.62,2073600,64990.0
Ryzen 3 Quad Core,3.8,512 GB,8,INTEGRATED,0,No,35.56,2073600,39250.0
Ryzen 5 Hexa Core,4.0,512 GB,8,INTEGRATED,0,No,35.56,2073600,45990.0
Core i5,4.4,512 GB,16,INTEGRATED,0,No,39.62,2073600,56990.0
Ryzen 5 Quad Core,4.3,512 GB,8,INTEGRATED,0,No,39.62,2073600,41990.0
Ryzen 3 Quad Core,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,39990.0
Core i7,5.0,1 TB,16,DEDICATED,8,No,40.64,4096000,149990.0
Core i5,4.4,512 GB,16,DEDICATED,4,No,39.62,2073600,58990.0
Core i5,4.5,512 GB,16,INTEGRATED,0,No,35.56,3110400,54990.0
M2 Max,,1 TB,32,INTEGRATED,0,No,35.56,5939136,285490.0
M2 Max,,1 TB,32,INTEGRATED,0,No,40.64,7720704,322490.0
M2 Pro,,1 TB,16,INTEGRATED,0,No,35.56,5939136,229990.0
Ryzen 3 Quad Core,4.1,512 GB,8,INTEGRATED,0,No,35.56,2073600,36990.0
Celeron Quad Core,2.8,256 GB,8,INTEGRATED,0,No,39.62,2073600,23490.0
Core i5,3.8,512 GB,8,INTEGRATED,0,No,35.56,3110400,47999.0
Athlon Dual Core,3.2,512 GB,8,INTEGRATED,0,No,39.62,1049088,34999.0
Core i7,5.0,512 GB,16,INTEGRATED,0,No,35.56,5184000,117990.0
Ryzen 5 Hexa Core,4.5,512 GB,16,INTEGRATED,0,No,40.64,2304000,59990.0
Core i5,4.7,512 GB,16,DEDICATED,6,No,40.64,6400000,124990.0
Core i5,4.4,512 GB,16,INTEGRATED,0,No,39.62,2073600,64990.0
Core i5,4.4,512 GB,16,INTEGRATED,0,No,39.62,2073600,68990.0
Core i5,4.5,512 GB,16,INTEGRATED,0,No,35.56,5184000,74990.0
Core i7,4.7,512 GB,16,DEDICATED,6,No,40.64,2304000,99990.0
Core i5,4.5,512 GB,8,DEDICATED,4,No,43.94,2073600,64990.0
Core i9,5.6,1 TB,32,DEDICATED,16,No,40.64,4096000,339990.0
Ryzen 7 Octa Core,4.4,512 GB,16,DEDICATED,4,No,40.89,2073600,97590.0
Core i3,4.4,512 GB,8,INTEGRATED,0,Yes,35.56,2304000,60990.0
Ryzen 7 Octa Core,4.2,512 GB,16,DEDICATED,4,No,39.62,2073600,59990.0
Ryzen 7 Octa Core,4.7,1 TB,16,INTEGRATED,0,No,33.78,2304000,78990.0
Ryzen 5 Hexa Core,4.5,512 GB,8,INTEGRATED,0,No,35.56,2073600,42990.0
Celeron Quad Core,2.8,512 GB,8,INTEGRATED,0,No,39.62,2073600,26490.0
Core i3,3.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,29990.0
Core i9,4.9,1 TB,16,DEDICATED,6,No,39.62,2073600,109990.0
Core i3,4.1,256 GB,8,INTEGRATED,0,No,39.62,1049088,37240.0
Core i5,4.5,512 GB,8,DEDICATED,4,No,39.62,2073600,50990.0
Core i3,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,45990.0
Ryzen 5 Quad Core,4.3,512 GB,8,INTEGRATED,0,No,39.62,2073600,48999.0
Core i3,3.8,512 GB,8,INTEGRATED,0,No,39.62,2073600,35990.0
Core i9,5.0,1 TB,16,DEDICATED,6,No,39.62,2073600,138990.0
Core i5,4.6,512 GB,16,INTEGRATED,0,No,33.78,5184000,109990.0
