product_id,product_link,product_description,product_image,Processor_Name,Processor_Generation,Clock_Speed,SSD_Capacity,RAM,Graphic_Processor,Graphic_Memory,Touchscreen,Screen_Size,Screen_Resolution,Refresh_Rate,price
COMGGJZFJRZY45WX,https://www.flipkart.com/product/p/item?pid=COMGGJZFJRZY45WX,ASUS TUF Gaming A15 Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FA506IHRZ-HN112W Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/i/j/u/-original-imaggzes4pd7ptkx.jpeg?q=70,Ryzen 5 Hexa Core,,4.0 GHz max boost,1 TB,8 GB,NVIDIA GeForce GTX 1650,4 GB,No,39.62 cm (15.6 inch),1920 x 1080 Pixels,144 Hz,"65,990"
COMGG63HGDTFCCGW,https://www.flipkart.com/product/p/item?pid=COMGG63HGDTFCCGW,HP 15s Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5111TU Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/j/y/9/-original-imagp7pfaztvgxv3.jpeg?q=70,Core i5,12th Gen,"1.3 GHz upto Max 4.4 GHz,",512 GB,8 GB,Intel Integrated Iris Xe,,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,,"55,990"
COMGZYRYCB3JVMJS,https://www.flipkart.com/product/p/item?pid=COMGZYRYCB3JVMJS,HP 15s (2023) Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/5/6/i/-original-imaggshd5zgfe8ev.jpeg?q=70,Ryzen 3 Dual Core,,2.60 GHz up to 3.50 GHz,512 GB,8 GB,AMD Radeon AMD,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"33,990"
COMGYCG8ZBXWPYUU,https://www.flipkart.com/product/p/item?pid=COMGYCG8ZBXWPYUU,Acer Aspire 7 Ryzen 5 Hexa Core AMD R5-5500U - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) A715-42G/ A715-42G-R2NE Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/b/e/h/-original-imagjyc69gh3a8wu.jpeg?q=70,Ryzen 5 Hexa Core,,2.1 GHz with Turbo Boost Upto 4.0 GHz,512 GB,8 GB,NVIDIA GeForce GTX 1650,4 GB,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,,"47,990"
COMGKC6Y2KA8HMFT,https://www.flipkart.com/product/p/item?pid=COMGKC6Y2KA8HMFT,Lenovo IdeaPad Slim 3 Intel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/n/i/u/-original-imagpa5fbvqzk2xn.jpeg?q=70,Core i5,11th Gen,Max Frequency Up to 4.2 GHz,512 GB,16 GB,Intel Integrated Iris Xe,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"53,990"
COMGH3UFDF63TZYW,https://www.flipkart.com/product/p/item?pid=COMGH3UFDF63TZYW,Lenovo Yoga Slim 7 Pro Intel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14IHU5 Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/x/t/r/14ihu5-thin-and-light-laptop-lenovo-original-imagheh6vrqvpfnx.jpeg?q=70,Core i5,11th Gen,2.5 GHz upto max turbo frequency at 4.5 Ghz,512 GB,16 GB,Intel Integrated Iris Xe,,No,35.56 cm (14 Inch),2880 x 1800 Pixel,,"69,990"
COMG5YDPYEB7ZAKK,https://www.flipkart.com/product/p/item?pid=COMG5YDPYEB7ZAKK,realme Book (Slim) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) RMNB1001 Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/ksez24w0/computer/h/8/9/rmnb1001-thin-and-light-laptop-realme-original-imag5zhgcstmjbxg.jpeg?q=70,Core i3,11th Gen,3.0GHz with Turbo Boost Upto 4.1GHz,256 GB,8 GB,Intel Integrated UHD,,No,35.56 cm (14 inch),2160 x 1440 Pixel,,"35,990"
COMGFM5BFZHDDB4R,https://www.flipkart.com/product/p/item?pid=COMGFM5BFZHDDB4R,Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) 82K101B6IN|82K101FTIN Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/ks99aq80/computer/y/z/7/na-gaming-laptop-lenovo-original-imag5ve3jvhgvsnx.jpeg?q=70,Core i5,11th Gen,2.5 GHz upto max turbo frequency at 4.5 Ghz,512 GB,8 GB,NVIDIA GeForce GTX 1650,4 GB,No,100.63 cm (39.62 cm),1920 x 1080 Pixel,,"49,990"
COMGBH9JDPVGD8BH,https://www.flipkart.com/product/p/item?pid=COMGBH9JDPVGD8BH,HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/k/5/b/-original-imagp7pfkjydaptk.jpeg?q=70,Ryzen 5 Hexa Core,,2.1 GHz with Max Turbo Boost Frequency Up to 4.0 GHz,512 GB,8 GB,AMD Radeon AMD,,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,,"48,990"
COMGZ7YCAXM2AFNU,https://www.flipkart.com/product/p/item?pid=COMGZ7YCAXM2AFNU,Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL30 Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/t/z/o/xl30-thin-and-light-laptop-infinix-original-imagzmncf5snymhu.jpeg?q=70,Celeron Quad Core,11th Gen,1.1GHz - 2.8GHz,256 GB,8 GB,Intel Integrated UHD,,No,100.63 cm (39.62 cm),1920 x 1080 Pixel,,"23,490"
COMGEFDUQCBBAYCY,https://www.flipkart.com/product/p/item?pid=COMGEFDUQCBBAYCY,ASUS VivoBook 16X Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home) M1603QA-MB711WS Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/o/7/1/-original-imagpxgrmuazgfce.jpeg?q=70,Ryzen 7 Octa Core,,4.4,512 GB,16 GB,AMD Radeon Vega 7 Graphics,,No,40.64 cm (16 Inch),1920 x 1200 Pixels,,"62,990"
COMGB732ZPGYB2JP,https://www.flipkart.com/product/p/item?pid=COMGB732ZPGYB2JP,ASUS TUF Gaming A17 with 90Whr Battery Ryzen 7 Octa Core AMD R7-4800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX RTX 3050/144 Hz) FA706ICB-HX061W | FA706IC-HX036W Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/l3rmzrk0/computer/z/2/c/-original-imagetjyhhtrtkdg.jpeg?q=70,Ryzen 7 Octa Core,,4.2,512 GB,8 GB,NVIDIA GeForce RTX RTX 3050,4 GB,No,43.94 cm (17.3 Inch),1920 x 1080 Pixels,144 Hz,"67,990"
COMGZBHZTTXGGXXZ,https://www.flipkart.com/product/p/item?pid=COMGZBHZTTXGGXXZ,DELL Core i3 11th Gen - (8 GB/256 GB SSD/32 GB EMMC Storage/Ubuntu) Latitude 3420 Business Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/p/6/q/latitude-business-laptop-dell-original-imagzeyvgpbegkmw.jpeg?q=70,Core i3,11th Gen,3.0GHz Upto 4.1GHz,256 GB,8 GB,Intel Integrated Integrated,,No,35.56 cm (14 Inch),1920 x 1080 Pixel,,"56,426"
COMGMXKHFPASREJG,https://www.flipkart.com/product/p/item?pid=COMGMXKHFPASREJG,Acer Extensa (2023) Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) EX215-23 Notebook,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/y/l/p/-original-imagqmqjv5cyvbup.jpeg?q=70,Ryzen 5 Quad Core,,2.8GHz Upto 4.3GHz,512 GB,8 GB,AMD Radeon AMD,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"37,990"
COMGE73KYN76YZC7,https://www.flipkart.com/product/p/item?pid=COMGE73KYN76YZC7,ASUS ROG Strix G15 Ryzen 7 Octa Core AMD R7-4800H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti/144 Hz) G513IE-HN040WS Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/l3vxbbk0/computer/g/u/y/-original-imagewgtfgzf8fdd.jpeg?q=70,Ryzen 7 Octa Core,,Max Turbo Frequency at 4.2 GHz,1 TB,16 GB,NVIDIA GeForce RTX 3050 Ti,4 GB,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,144 Hz,"84,990"
