Processor_Name,Clock_Speed,SSD_Capacity,RAM,Graphic_Processor,Graphic_Memory,Touchscreen,Screen_Size,Screen_Resolution,price
Ryzen 5 Hexa Core,4.2,512 GB,8,DEDICATED,4,No,39.62,2073600.0,55990.0
Ryzen 5 Hexa Core,4.0,512 GB,16,INTEGRATED,0,No,39.62,2073600.0,49990.0
Celeron Dual Core,2.8,256 GB,8,INTEGRATED,0,No,39.62,2073600.0,26990.0
Core i5,4.5,512 GB,8,DEDICATED,4,No,39.62,2073600.0,59990.0
M1,,256 GB,8,INTEGRATED,0,No,33.78,4096000.0,79990.0
Ryzen 3 Quad Core,4.1,512 GB,8,INTEGRATED,0,No,35.56,2073600.0,36990.0
Core i3,3.4,256 GB,8,INTEGRATED,0,No,39.62,2073600.0,27990.0
Ryzen 5 Hexa Core,4.2,512 GB,16,DEDICATED,4,No,39.62,2073600.0,63990.0
Core i7,4.6,256 GB,16,DEDICATED,4,No,39.62,2073600.0,72990.0
Core i7,5.0,512 GB,16,INTEGRATED,0,No,39.62,2073600.0,86990.0
Core i7,5.0,1 TB,16,INTEGRATED,0,No,39.62,2073600.0,86990.0
Ryzen 5 Hexa Core,4.0,512 GB,16,INTEGRATED,0,No,35.56,2073600.0,52990.0
Core i5,4.6,512 GB,16,INTEGRATED,0,No,39.62,2073600.0,76990.0
Core i3,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,41490.0
Core i5,,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,49990.0
Core i3,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,38990.0
Ryzen 5 Hexa Core,4.3,512 GB,16,INTEGRATED,0,No,39.62,2073600.0,57790.0
Ryzen 3 Quad Core,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,35990.0
Celeron Quad Core,2.8,256 GB,8,INTEGRATED,0,No,39.62,2073600.0,23490.0
Core i7,4.7,512 GB,16,DEDICATED,4,No,39.62,2073600.0,89990.0
Core i5,4.4,512 GB,16,INTEGRATED,0,No,39.62,2073600.0,67990.0
Core i5,4.5,512 GB,8,INTEGRATED,0,No,35.56,2073600.0,42990.0
Core i5,4.4,256 GB,16,DEDICATED,6,No,39.62,2073600.0,79990.0
Core i9,5.4,1 TB,32,DEDICATED,12,No,40.64,4096000.0,249990.0
M2,,256 GB,8,INTEGRATED,0,No,34.54,4259840.0,107910.0
Core i5,4.5,512 GB,8,INTEGRATED,0,No,35.56,3110400.0,43990.0
Athlon Dual Core,3.2,256 GB,4,INTEGRATED,0,No,39.62,1049088.0,23999.0
Ryzen 7 Octa Core,4.4,512 GB,16,DEDICATED,6,No,39.62,2073600.0,87990.0
Core i5,4.4,256 GB,8,INTEGRATED,0,No,39.62,2073600.0,63990.0
Core i5,4.6,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,71990.0
Core i5,,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,54990.0
Core i5,3.6,512 GB,8,DEDICATED,2,No,39.62,2073600.0,51990.0
Core i5,4.6,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,64890.0
Ryzen 5 Hexa Core,4.5,512 GB,16,INTEGRATED,0,No,40.64,2304000.0,56990.0
Core i9,5.5,2 TB,32,DEDICATED,12,No,43.18,4096000.0,279990.0
Core i5,4.2,512 GB,16,INTEGRATED,0,No,39.62,2073600.0,58490.0
M2 Max,,1 TB,32,INTEGRATED,0,No,35.56,5939136.0,285490.0
Ryzen 5 Hexa Core,4.0,512 GB,8,INTEGRATED,0,No,35.56,2073600.0,44990.0
Core i5,4.5,512 GB,16,DEDICATED,4,No,39.62,2073600.0,76990.0
Core i3,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,41490.0
Celeron Dual Core,2.8,NO_SSD,4,INTEGRATED,0,Yes,35.56,2073600.0,23990.0
Core i7,4.9,1 TB,16,DEDICATED,8,No,43.94,2073600.0,139990.0
Ryzen 5 Quad Core,4.3,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,40990.0
Ryzen 5 Hexa Core,4.5,1 TB,16,INTEGRATED,0,No,40.64,2304000.0,63990.0
Ryzen 7 Octa Core,4.3,512 GB,16,INTEGRATED,0,No,39.62,2073600.0,55990.0
Ryzen 5 Hexa Core,4.2,512 GB,16,DEDICATED,4,No,39.62,2073600.0,66990.0
Ryzen 5 Hexa Core,4.55,512 GB,16,INTEGRATED,0,No,33.78,2304000.0,67990.0
Core i9,5.6,4 TB,64,DEDICATED,16,No,43.94,8294400.0,599990.0
Ryzen 7 Octa Core,4.4,512 GB,16,DEDICATED,4,No,39.62,2073600.0,62990.0
Core i3,4.1,512 GB,8,INTEGRATED,0,No,35.56,2073600.0,36990.0
Core i7,5.0,512 GB,16,INTEGRATED,0,No,39.62,2073600.0,86990.0
Core i5,4.5,512 GB,16,INTEGRATED,0,No,35.56,5184000.0,69990.0
Ryzen 3 Quad Core,3.8,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,38990.0
Core i5,4.6,512 GB,16,INTEGRATED,0,No,35.56,2073600.0,63990.0
Core i5,4.6,1 TB,16,INTEGRATED,0,Yes,35.56,2073600.0,82100.0
Athlon Dual Core,3.2,256 GB,4,INTEGRATED,0,No,35.56,1049088.0,19990.0
Core i9,5.6,2 TB,64,DEDICATED,16,No,43.94,4096000.0,489990.0
Celeron Dual Core,2.8,NO_SSD,4,INTEGRATED,0,Yes,35.56,1049088.0,23990.0
